DataInicial,DataFinal,FocosDeQueimadas,Pneumonias,Asma,Bronquite,Bronquiolite,IVAS,Influenza,IRA,Sinusite
01/10/2016,31/12/2016,2138,37,0,1,0,0,0,0,0
01/07/2016,30/09/2016,2711,30,0,5,0,0,0,1,0
01/04/2016,30/06/2016,112,40,1,2,0,0,0,0,0
01/01/2016,31/03/2016,49,18,0,0,0,0,0,0,0
01/10/2015,31/12/2015,5034,19,0,2,0,0,0,0,0
01/07/2015,30/09/2015,8284,36,1,1,0,0,0,0,0
01/04/2015,30/06/2015,34,57,0,0,0,2,0,0,0
01/01/2015,31/03/2015,5,23,0,1,0,0,0,0,0
01/10/2014,31/12/2014,483,29,0,0,0,1,0,1,0
01/07/2014,30/09/2014,1739,47,0,1,1,1,0,0,0
01/04/2014,30/06/2014,13,65,1,0,1,4,0,0,2
01/01/2014,31/03/2014,5,42,0,1,0,2,2,0,0
